case_no,casetype,casesubtype,site_addr
CE1508-0809,PARKING,BLOCKING SIDEWALK,7016 SUNBURST TRAIL
CE1508-0810,GRASSWEEDS,RESIDENTIAL,2616 JOHN DR
CE1508-0811,OUTSIDE STORAGE,RESIDENTIAL,2014 LESLIE ST
CE1508-0812,PARKING,BLOCKING SIDEWALK,7212 SUNBURST TRAIL
CE1508-0813,TRASHDEBRIS,RESIDENTIAL,7501 SUNBURST TRL
CE1508-0814,GRASSWEEDS,RESIDENTIAL,2609 JOHN DR
CE1508-0815,MINIMUM BUILDING STA,NO ADDRESS POSTED,7504 SUNBURST TRL
CE1508-0816,OUTSIDE STORAGE,COMMERCIAL,1601 BRINKER RD 107
CE1508-0817,GRASSWEEDS,TREE LIMBS,7504 SUNBURST TRL
CE1508-0818,TRASHRECYCLE BINS,CURB WRONG TIME,2525 JOHN DR
CE1508-0819,PARKING,SINGLE FAMILY,2010 LESLIE ST
CE1508-0820,OUTSIDE STORAGE,RESIDENTIAL,2010 LESLIE ST
CE1508-0821,TRASHRECYCLE BINS,CURB WRONG TIME,2712 STEPHEN DR
CE1508-0822,TRASHRECYCLE BINS,CURB WRONG TIME,2704 STEPHEN DR
CE1508-0823,TRASHRECYCLE BINS,CURB WRONG TIME,2517 BAUER DR
CE1508-0824,TRASHRECYCLE BINS,CURB WRONG TIME,2521 BAUER DR
CE1508-0825,PARKING,SINGLE FAMILY,2724 CLAYDON DR
CE1508-0826,PARKING,BLOCKING SIDEWALK,2733 CLAYDON DR
CE1508-0827,MONITORING,,2708 CLARENDON DR
CE1508-0828,TRASHDEBRIS,RESIDENTIAL,1002-04 DENTON ST
CE1508-0829,PARKING,BLOCKING SIDEWALK,2721 CLARENDON DR
CE1508-0830,GRASSWEEDS,RESIDENTIAL,2725 CLARENDON DR
CE1508-0831,PARKING,SINGLE FAMILY,2914 BROOKHOLLOW DR
CE1508-0832,TRASHDEBRIS,RESIDENTIAL,2200 ARROWHEAD DR
CE1508-0833,TRASHDEBRIS,RESIDENTIAL,3009 SAVILL GARDEN
CE1508-0834,TRASHDEBRIS,YARD WASTE,2104 CARRIAGE HILL
CE1508-0835,OUTSIDE STORAGE,RESIDENTIAL,2320 CRESTMEADOW ST
CE1508-0836,TRASHDEBRIS,RESIDENTIAL,2320 CRESTMEADOW ST
CE1508-0837,PARKING,SINGLE FAMILY,2128 CRESTMEADOW ST
CE1508-0838,OUTSIDE STORAGE,RESIDENTIAL,1002-04 DENTON ST
CE1508-0839,GRASSWEEDS,RESIDENTIAL,2221 LOOKOUT LN
CE1508-0840,OUTSIDE STORAGE,RESIDENTIAL,2301 LOOKOUT LN
CE1508-0841,TRASHRECYCLE BINS,LOCATION,812 ALICE ST
CE1508-0842,OUTSIDE STORAGE,RESIDENTIAL,809 DENTON ST
CE1508-0843,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,4001 LUCK HOLE DR
CE1508-0844,TRASHDEBRIS,RESIDENTIAL,812 ALICE ST
CE1508-0845,FENCES,RESIDENTIAL,4001 LUCK HOLE DR
CE1508-0846,TRASHDEBRIS,RESIDENTIAL,2054 SCRIPTURE ST
CE1508-0847,TRASHDEBRIS,RESIDENTIAL,1009 PANHANDLE ST
CE1508-0848,TRASHDEBRIS,VACANT LOT,4801 NOWLIN
CE1508-0849,TRASHDEBRIS,RESIDENTIAL,492 THOMAS J EGAN RD
CE1508-0850,TRASHDEBRIS,RESIDENTIAL,701 HILLCREST
CE1508-0851,INOPERABLE VEHICLE,MOTOR VEHICLE,1009 PANHANDLE ST
CE1508-0852,TRASHDEBRIS,RESIDENTIAL,1112 STANLEY ST
CE1508-0853,TRASHRECYCLE BINS,LOCATION,1112 STANLEY ST
CE1508-0854,TRASHDEBRIS,RESIDENTIAL,810 COIT ST
CE1508-0855,TRASHDEBRIS,RESIDENTIAL,1816 PANHANDLE ST
CE1508-0856,CERTIFICATE OF OCCUP,NEW BUSINESS,301 DALLAS DR 110
CE1508-0857,TRASHRECYCLE BINS,LOCATION,1816 PANHANDLE ST
CE1508-0858,TRASHDEBRIS,RESIDENTIAL,1804 WESTRIDGE ST
CE1508-0859,OUTSIDE STORAGE,RESIDENTIAL,1605 HIGHLAND PARK RD
CE1508-0860,ORDINANCE OTHER DEPT,CITY PROPERTY,1210 BELLEMEAD DR
CE1508-0861,MINIMUM BUILDING STA,AESTHETIC FEATURES,1501 MCCORMICK ST
CE1508-0862,INOPERABLE VEHICLE,MOTOR VEHICLE,1501 MCCORMICK ST
CE1508-0863,ZONING,SIGNAGE,405 FORT WORTH DR 101
CE1508-0864,GRASSWEEDS,RESIDENTIAL,2200 CANTERBURY CT
CE1508-0865,TRASHDEBRIS,RESIDENTIAL,2200 CANTERBURY CT
CE1508-0866,OUTSIDE STORAGE,RESIDENTIAL,2200 CANTERBURY CT
CE1508-0867,GRASSWEEDS,RESIDENTIAL,1117 SKYLARK DR
CE1508-0868,OUTSIDE STORAGE,RESIDENTIAL,1117 SKYLARK DR
CE1508-0869,INOPERABLE VEHICLE,MOTOR VEHICLE,1028 E MCKINNEY ST
CE1508-0870,TRASHDEBRIS,RESIDENTIAL,1028 E MCKINNEY ST
CE1508-0871,OUTSIDE STORAGE,RESIDENTIAL,1028 E MCKINNEY ST
CE1508-0872,MINIMUM BUILDING STA,RESIDENTIAL,1028 E MCKINNEY ST
CE1508-0873,PARKING,SINGLE FAMILY,1028 E MCKINNEY ST
CE1508-0874,TRASHDEBRIS,RESIDENTIAL,2208 LOON LAKE RD
CE1508-0875,TRASHDEBRIS,RESIDENTIAL,1624 MOZINGO ST
CE1508-0876,ZONING,UNRELATED PEOPLE,1028 E MCKINNEY ST
CE1508-0877,TRASHDEBRIS,RESIDENTIAL,1020 WILLOWWOOD ST
CE1508-0878,PARKING,SINGLE FAMILY,2600 LOON LAKE RD
CE1508-0879,OUTSIDE STORAGE,RESIDENTIAL,1128 E OAK
CE1508-0880,MINIMUM BUILDING STA,NO ADDRESS POSTED,1128 E OAK
CE1508-0881,OUTSIDE STORAGE,RESIDENTIAL,1624 MOZINGO ST
CE1508-0882,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,1624 MOZINGO ST
CE1508-0883,MINIMUM BUILDING STA,EXT WALLS SURFACES,1624 MOZINGO ST
CE1508-0884,TRASHDEBRIS,RESIDENTIAL,1112 E HICKORY
CE1508-0885,OUTSIDE STORAGE,RESIDENTIAL,1112 E HICKORY
CE1508-0886,TRASHDEBRIS,RESIDENTIAL,1108 E HICKORY
CE1508-0887,OUTSIDE STORAGE,RESIDENTIAL,1108 E HICKORY
CE1508-0888,TRASHRECYCLE BINS,LOCATION,1008 E PRAIRIE ST
CE1508-0889,TRASHDEBRIS,RESIDENTIAL,1008 E PRAIRIE ST
CE1508-0890,TRASHDEBRIS,RESIDENTIAL,1544 CHARLES
CE1508-0891,TRASHDEBRIS,RESIDENTIAL,733 ALEXANDER ST
CE1508-0892,PARKING,BLOCKING SIDEWALK,2111 MERCEDES RD
CE1508-0893,PARKING,SINGLE FAMILY,2202 WESTWOOD DR
CE1508-0894,OUTSIDE STORAGE,RESIDENTIAL,2202 WESTWOOD DR
CE1508-0895,TRASHRECYCLE BINS,CURB WRONG TIME,2202 WESTWOOD DR
CE1508-0896,TRASHDEBRIS,RESIDENTIAL,2202 WESTWOOD DR
CE1508-0897,TRASHDEBRIS,RESIDENTIAL,7709 SHOAL BND
CE1508-0898,PARKING,BLOCKING SIDEWALK,7800 SETTLEMENT DR
CE1508-0899,ZONING,SIGNAGE,2112 SADAU CT
CE1508-0900,PARKING,BLOCKING SIDEWALK,7913 SETTLEMENT DR
CE1508-0901,ORDINANCE OTHER DEPT,RESIDENTIAL,2211 MERCEDES RD
CE1508-0902,TRASHDEBRIS,RESIDENTIAL,8017 MONTECITO DR
CE1508-0903,IRRIGATION,RESIDENTIAL,8017 MONTECITO DR
CE1508-0904,TRASHDEBRIS,RESIDENTIAL,8224 MONTECITO DR
CE1508-0905,TRASHDEBRIS,RESIDENTIAL,2100 ACORN BEND
CE1508-0906,PARKING,BLOCKING SIDEWALK,2101 ACORN BND
CE1508-0907,PARKING,BLOCKING SIDEWALK,1705 MARBLE COVE LN
CE1508-0908,INOPERABLE VEHICLE,MOTOR VEHICLE,1308 MARBLE COVE LN
CE1508-0909,PARKING,BLOCKING SIDEWALK,1308 MARBLE COVE LN
CE1508-0910,PARKING,BLOCKING SIDEWALK,1705 WHITE DOVE LN
CE1508-0911,TRASHDEBRIS,RESIDENTIAL,8201 HIDDEN PATH LN
CE1508-0912,PARKING,BLOCKING SIDEWALK,1209 SILENT STAR LN
CE1508-0913,PARKING,BLOCKING SIDEWALK,1125 SILENT STAR LN
CE1508-0914,ZONING,POD,7901 WINDING STREAM DR
CE1508-0915,TRASHDEBRIS,RESIDENTIAL,8004 WINDING STREAM DR
CE1508-0916,PARKING,BLOCKING SIDEWALK,8200 WINDING STREAM DR
CE1508-0917,TRASHDEBRIS,RESIDENTIAL,8204 CANOE RIDGE LN
CE1508-0918,OUTSIDE STORAGE,RESIDENTIAL,8217 CLEAR RIVER LN
CE1508-0919,TRASHDEBRIS,RESIDENTIAL,8404 MILD CREEK LN
CE1508-0920,TRASHDEBRIS,RESIDENTIAL,9300 GLEN FALLS LN
CE1508-0921,TRASHDEBRIS,RESIDENTIAL,8405 SERENITY WAY
CE1508-0922,TRASHDEBRIS,RESIDENTIAL,8200 SWAN PARK DR
CE1508-0923,MINIMUM BUILDING STA,NO ADDRESS POSTED,8200 SWAN PARK DR
CE1508-0924,OUTSIDE STORAGE,RESIDENTIAL,1544 CHARLES
CE1508-0925,FENCES,RESIDENTIAL,300 CAMPBELL LN
CE1508-0926,TRASHDEBRIS,RESIDENTIAL,1400 PAISLEY ST
CE1508-0927,TRASHDEBRIS,RESIDENTIAL,2508 LA PALOMA DR
CE1508-0928,OUTSIDE STORAGE,RESIDENTIAL,2508 LA PALOMA DR
CE1508-0929,FENCES,RESIDENTIAL,2508 LA PALOMA DR
CE1508-0930,PARKING,SINGLE FAMILY,2520 LA PALOMA DR
CE1508-0931,PARKING,SINGLE FAMILY,3605 COOPER BRANCH E
CE1508-0932,TRASHDEBRIS,RESIDENTIAL,3615 KINGS CT
CE1508-0933,TRASHDEBRIS,RESIDENTIAL,1114 ANNA ST
CE1508-0934,TRASHDEBRIS,RESIDENTIAL,1523 ANNA ST
CE1508-0935,TRASHDEBRIS,RESIDENTIAL,2614-2616 DENISON ST
CE1508-0936,PARKING,BLOCKING SIDEWALK,2600 LOON LAKE RD
CE1508-0937,OUTSIDE STORAGE,RESIDENTIAL,2614-2616 DENISON ST
CE1508-0938,TRASHRECYCLE BINS,LOCATION,2614-2616 DENISON ST
CE1508-0939,TRASHDEBRIS,RESIDENTIAL,1501 MCCORMICK ST
CE1508-0940,GRASSWEEDS,CITY PROPERTY,17 HIGHVIEW CIR
CE1508-0941,TRASHDEBRIS,RESIDENTIAL,2612 BOLIVAR ST
CE1508-0942,OUTSIDE STORAGE,RESIDENTIAL,1205 KENDOLPH DR
CE1508-0943,TRASHDEBRIS,RESIDENTIAL,1205 KENDOLPH DR
CE1508-0944,ORDINANCE OTHER DEPT,CITY PROPERTY,ROW IN FRONT 3302 Ft Worth dr
CE1508-0945,INOPERABLE VEHICLE,MOTOR VEHICLE,1004 HOPKINS DR
CE1508-0946,TRASHDEBRIS,RESIDENTIAL,711 KERLEY ST
CE1508-0947,OUTSIDE STORAGE,RESIDENTIAL,711 KERLEY ST
CE1508-0948,TRASHRECYCLE BINS,CURB WRONG TIME,711 KERLEY ST
CE1508-0949,TRASHDEBRIS,RESIDENTIAL,1212 KENDOLPH DR
CE1508-0950,ORDINANCE OTHER DEPT,CITY PROPERTY,1501 ANGELINA BEND DR
CE1508-0951,TRASHDEBRIS,RESIDENTIAL,705 KERLEY ST
CE1508-0952,TRASHDEBRIS,RESIDENTIAL,2002 AZALEA ST
CE1508-0953,TRASHDEBRIS,RESIDENTIAL,528 RUTH ST
CE1508-0954,TRASHDEBRIS,RESIDENTIAL,813 EMERY ST
CE1508-0955,OUTSIDE STORAGE,RESIDENTIAL,2105 WISTERIA ST
CE1508-0956,OUTSIDE STORAGE,RESIDENTIAL,813 EMERY ST
CE1508-0957,TRASHRECYCLE BINS,LOCATION,813 EMERY ST
CE1508-0958,PARKING,SINGLE FAMILY,2111 AZALEA ST
CE1508-0959,OUTSIDE STORAGE,RESIDENTIAL,2111 AZALEA ST
CE1508-0960,TRASHDEBRIS,RESIDENTIAL,2111 AZALEA ST
CE1508-0961,ZONING,SIGNAGE,1441 S LOOP 288
CE1508-0962,WORK WO PERMIT,OTHER WORK W/O PERMIT,420 N RUDDELL ST
CE1508-0963,ZONING,SIGNAGE,1601 BRINKER RD 107
CE1508-0964,GRASSWEEDS,RESIDENTIAL,492 THOMAS J EGAN RD
CE1508-0965,TRASHDEBRIS,RESIDENTIAL,3100 WINDY HL
CE1508-0966,ILLEGAL DUMPING,RESIDENTIAL,2610 FOXCROFT CIR
CE1508-0967,GRASSWEEDS,TREE LIMBS,1200 N MAYHILL RD
CE1508-0968,GRASSWEEDS,TREE LIMBS,1250 N MAYHILL RD
CE1508-0969,TRASHDEBRIS,RESIDENTIAL,4001 LUCK HOLE DR
CE1508-0970,TRASHDEBRIS,RESIDENTIAL,2920 STOCKTON ST
CE1508-0971,TRASHRECYCLE BINS,CURB WRONG TIME,3905 BLACK BUTTE DR
CE1508-0972,GRASSWEEDS,VACANT LOT,4801 NOWLIN
CE1508-0973,TRASHDEBRIS,RESIDENTIAL,1310 WINDSTREAM ST
CE1508-0974,TRASHDEBRIS,RESIDENTIAL,708 WINDSWEPT CT
CE1508-0975,TRASHDEBRIS,RESIDENTIAL,621 WINDSWEPT CT
CE1508-0976,TRASHDEBRIS,RESIDENTIAL,709 WINDSWEPT CT
CE1508-0977,ILLEGAL DUMPING,RESIDENTIAL,1105 LAGUNA DR
CE1508-0978,TRASHDEBRIS,RESIDENTIAL,1900 BERNARD ST
CE1508-0979,OUTSIDE STORAGE,RESIDENTIAL,2102 JACQUELINE DR
CE1508-0980,TRASHDEBRIS,RESIDENTIAL,2102 JACQUELINE DR
CE1508-0981,OUTSIDE STORAGE,RESIDENTIAL,1013 GREENBEND DR
CE1508-0982,TRASHRECYCLE BINS,LOCATION,1013 GREENBEND DR
CE1508-0983,TRASHRECYCLE BINS,LOCATION,1104 BEECHWOOD DR
CE1508-0984,OUTSIDE STORAGE,RESIDENTIAL,1104 BEECHWOOD DR
CE1508-0985,OUTSIDE STORAGE,RESIDENTIAL,917 BEECHWOOD DR
CE1508-0986,GRASSWEEDS,RESIDENTIAL,1029 BEECHWOOD DR
CE1508-0987,TRASHRECYCLE BINS,LOCATION,1029 BEECHWOOD DR
CE1508-0988,TRASHDEBRIS,RESIDENTIAL,1029 BEECHWOOD DR
CE1508-0989,TRASHDEBRIS,RESIDENTIAL,917 SPRINGCREEK DR
CE1508-0990,OUTSIDE STORAGE,RESIDENTIAL,925 SPRINGCREEK DR
CE1508-0991,TRASHDEBRIS,RESIDENTIAL,1005 SPRINGCREEK DR
CE1508-0992,TRASHDEBRIS,COMMERCIAL,501-517 S LOCUST ST
CE1508-0993,FENCES,RESIDENTIAL,3328 BENT CREEK DR
CE1508-0994,OUTSIDE STORAGE,RESIDENTIAL,3328 BENT CREEK DR
CE1508-0995,TRASHRECYCLE BINS,LOCATION,3328 BENT CREEK DR
CE1508-0996,PARKING,SINGLE FAMILY,1806 WESTWOOD DR
CE1508-0997,INOPERABLE VEHICLE,MOTOR VEHICLE,1806 WESTWOOD DR
CE1508-0998,GRASSWEEDS,RESIDENTIAL,1815 W OAK ST
CE1508-0999,GRASSWEEDS,RESIDENTIAL,1104 RALEIGH PATH RD
CE1508-1000,WORK WO PERMIT,FENCE W/O PERMIT,1218 OAKWOOD DR
CE1508-1001,OUTSIDE STORAGE,RESIDENTIAL,1104 RALEIGH PATH RD
CE1508-1002,OUTSIDE STORAGE,RESIDENTIAL,901 RALEIGH PATH RD
CE1508-1003,OUTSIDE STORAGE,RESIDENTIAL,1218 OAKWOOD DR
CE1508-1004,PARKING,SINGLE FAMILY,1107 OAKWOOD DR
CE1508-1005,TRASHRECYCLE BINS,LOCATION,901 RALEIGH PATH RD
CE1508-1006,GRASSWEEDS,RESIDENTIAL,913 RALEIGH PATH RD
CE1508-1007,ORDINANCE OTHER DEPT,CITY PROPERTY,1114 OAKWOOD DR
CE1508-1008,OUTSIDE STORAGE,RESIDENTIAL,1113 RALEIGH PATH RD
CE1508-1009,ZONING,POD,2230 W OAK ST
CE1508-1010,PARKING,SINGLE FAMILY,2230 W OAK ST
CE1508-1011,TRASHDEBRIS,RESIDENTIAL,1807 WESTWOOD DR
CE1508-1012,ORDINANCE OTHER DEPT,CITY PROPERTY,IN FRONT 3905 MADISON
CE1508-1013,OUTSIDE STORAGE,RESIDENTIAL,1807 WESTWOOD DR
CE1508-1014,TRASHDEBRIS,RESIDENTIAL,1901 HOUSTON PL
CE1508-1015,ZONING,SIGNAGE,1507 S LOOP 288 204
CE1508-1016,FENCES,RESIDENTIAL,1005 RALEIGH PATH RD
CE1508-1017,GRAFFITI,COMMERCIAL,1633 SCRIPTURE ST
CE1508-1018,GRASSWEEDS,RESIDENTIAL,3900 SPRINGFIELD ST
CE1508-1019,TRASHRECYCLE BINS,LOCATION,3904 MADISON LN
CE1508-1020,TRASHDEBRIS,RESIDENTIAL,2003 KAYEWOOD DR
CE1508-1021,OUTSIDE STORAGE,RESIDENTIAL,3904 MADISON LN
CE1508-1022,TRASHDEBRIS,RESIDENTIAL,3904 MADISON LN
CE1508-1023,ZONING,SIGNAGE,1501 S LOOP 288
CE1508-1024,OUTSIDE STORAGE,RESIDENTIAL,2003 KAYEWOOD DR
CE1508-1025,TRASHDEBRIS,RESIDENTIAL,2521 ROBINWOOD LN
CE1508-1026,GRASSWEEDS,RESIDENTIAL,1305 RALEIGH PATH RD
CE1508-1027,OUTSIDE STORAGE,RESIDENTIAL,2521 ROBINWOOD LN
CE1508-1028,TRASHDEBRIS,RESIDENTIAL,2603 ROBINWOOD LN
CE1508-1029,TRASHDEBRIS,RESIDENTIAL,2715 ROBINWOOD LN
CE1508-1030,ZONING,SIGNAGE,1501 S LOOP 288 101
CE1508-1031,TRASHRECYCLE BINS,CURB WRONG TIME,2715 ROBINWOOD LN
CE1508-1032,TRASHRECYCLE BINS,LOCATION,2715 ROBINWOOD LN
CE1508-1033,OUTSIDE STORAGE,RESIDENTIAL,1017 EDINBURG LN
CE1508-1034,TRASHDEBRIS,RESIDENTIAL,1017 EDINBURG LN
CE1508-1035,TRASHRECYCLE BINS,LOCATION,1017 EDINBURG LN
CE1508-1036,ZONING,SIGNAGE,1501 S LOOP 288 101
CE1508-1037,ZONING,SIGNAGE,1501 S LOOP 288 101
CE1508-1038,TRASHDEBRIS,RESIDENTIAL,1103 EDINBURG LN
CE1508-1039,GRASSWEEDS,COMMERCIAL,222 S MAYHILL RD
CE1508-1040,OUTSIDE STORAGE,RESIDENTIAL,1305 RALEIGH PATH RD
CE1508-1041,TRASHDEBRIS,COMMERCIAL,104 N BELL AVE
CE1508-1042,PARKING,COMMERCIAL,104 N BELL AVE
CE1508-1043,FENCES,RESIDENTIAL,1217 RALEIGH PATH RD
CE1508-1044,TRASHDEBRIS,COMMERCIAL,222 S MAYHILL RD
CE1508-1046,OUTSIDE STORAGE,RESIDENTIAL,3813 LARIAT RD
CE1508-1047,STAGNANT WATER,OBJECTS,1104 RALEIGH PATH RD
CE1508-1048,TRASHDEBRIS,COMMERCIAL,222 S MAYHILL RD
CE1508-1049,CERTIFICATE OF OCCUP,NEW BUSINESS,2442 LILLIAN MILLER PKWY 100
CE1508-1050,ZONING,SIGNAGE,121 N WOODROW LN
CE1508-1051,ZONING,SIGNAGE,2442 LILLIAN MILLER PKWY 100
CE1508-1052,OUTSIDE STORAGE,RESIDENTIAL,4505 MERLOT DR
CE1508-1053,GRASSWEEDS,VACANT LOT,TUSCAN HILLS CIR
CE1508-1054,WORK WO PERMIT,FENCE W/O PERMIT,3600 RIESLING DR
CE1508-1055,TRASHDEBRIS,COMMERCIAL,2428 CHARLOTTE ST
CE1508-1056,OUTSIDE STORAGE,RESIDENTIAL,911 W HICKORY ST
CE1508-1057,MONITORING,,3600 RIESLING DR
CE1508-1058,PARKING,SINGLE FAMILY,507 W SYCAMORE ST
CE1508-1059,TRASHDEBRIS,COMMERCIAL,616 LONDONDERRY LN
CE1508-1060,TRASHDEBRIS,RESIDENTIAL,605 W MULBERRY ST
CE1508-1061,GRASSWEEDS,RESIDENTIAL,4605 NAPA VALLEY DR
CE1508-1062,OUTSIDE STORAGE,RESIDENTIAL,511 W SYCAMORE ST
CE1508-1063,PARKING,SINGLE FAMILY,4408 NAPA VALLEY DR
CE1508-1064,TRASHRECYCLE BINS,LOCATION,817 W SYCAMORE ST
CE1508-1065,TRASHDEBRIS,RESIDENTIAL,817 W SYCAMORE ST
CE1508-1066,GRASSWEEDS,RESIDENTIAL,4401 NAPA VALLEY DR
CE1508-1067,ZONING,SIGNAGE,5016 TEASLEY LN
CE1508-1068,ZONING,SIGNAGE,721 S I-35E 210
CE1508-1069,OUTSIDE STORAGE,RESIDENTIAL,4404 CLARET DR
CE1508-1070,ZONING,SIGNAGE,707 S I-35E
CE1508-1071,TRASHDEBRIS,COMMERCIAL,315 BERNARD ST
CE1508-1072,ZONING,SIGNAGE,3100 TEASLEY LN
CE1508-1073,OUTSIDE STORAGE,RESIDENTIAL,708 WINDSWEPT CT
CE1508-1074,ZONING,SIGNAGE,3111 UNICORN LAKE BLVD
CE1508-1075,ZONING,SIGNAGE,721 S I-35E 122
CE1508-1076,OUTSIDE STORAGE,RESIDENTIAL,621 WINDSWEPT CT
CE1508-1077,GRASSWEEDS,RESIDENTIAL,3209 STONECROP TRL
CE1508-1078,TRASHDEBRIS,RESIDENTIAL,3313 STONECROP TRL
CE1508-1079,TRASHDEBRIS,RESIDENTIAL,215 E SHERMAN DR
CE1508-1080,ZONING,POD,808 KINGS ROW
CE1508-1081,MINIMUM BUILDING STA,EXT WALLS SURFACES,1101 LAGUNA DR
CE1508-1082,STAGNANT WATER,POOL,1101 LAGUNA DR
CE1508-1083,OUTSIDE STORAGE,RESIDENTIAL,1101 LAGUNA DR
CE1508-1084,TRASHDEBRIS,RESIDENTIAL,1101 LAGUNA DR
CE1508-1085,ORDINANCE OTHER DEPT,CITY PROPERTY,1101 LAGUNA DR
CE1508-1086,OUTSIDE STORAGE,RESIDENTIAL,4000 SONOMA DR
CE1508-1087,TRASHDEBRIS,COMMERCIAL,2434 S I-35E
CE1508-1088,TRASHDEBRIS,RESIDENTIAL,617 WINDFIELDS ST
CE1508-1089,TRASHDEBRIS,RESIDENTIAL,712 WINDFIELDS ST
CE1508-1090,MBS INTERIOR,SANITARY DRAINAGE SYSTEM,900 LONDONDERRY LN
CE1508-1091,OUTSIDE STORAGE,RESIDENTIAL,704 WINDFIELDS ST
CE1508-1092,TRASHDEBRIS,COMMERCIAL,235 W HICKORY ST 101
CE1508-1093,OUTSIDE STORAGE,RESIDENTIAL,3900 SHIRAZ DR
CE1508-1094,ZONING,SIGNAGE,235 W HICKORY ST 101
CE1508-1095,ZONING,SIGNAGE,321 W HICKORY ST 108
CE1508-1096,WORK WO PERMIT,ACCESSORY STRUCTURE W/O PERMIT,3808 SPRINGFIELD ST
CE1508-1097,TRASHDEBRIS,RESIDENTIAL,629 CHAMBERS ST
CE1508-1098,GRASSWEEDS,CITY PROPERTY,3323-3327 Colorado
CE1508-1099,GRASSWEEDS,CITY PROPERTY,Hickory Creek
CE1508-1100,ZONING,SIGNAGE,321 W HICKORY ST 104
CE1508-1101,ZONING,SIGNAGE,321 W HICKORY ST 100
CE1508-1102,WORK WO PERMIT,OTHER WORK W/O PERMIT,1640 W UNIVERSITY DR
CE1508-1103,NO ORDINANCE,RESIDENTIAL,1909 WESTCHESTER ST
CE1508-1104,OUTSIDE STORAGE,COMMERCIAL,1640 W UNIVERSITY DR
CE1508-1105,TRASHDEBRIS,COMMERCIAL,1640 W UNIVERSITY DR
CE1508-1106,TRASHDEBRIS,RESIDENTIAL,1800 BROADWAY ST
CE1508-1107,OUTSIDE STORAGE,RESIDENTIAL,612 CHAMBERS ST
CE1508-1108,TRASHDEBRIS,RESIDENTIAL,612 CHAMBERS ST
CE1508-1109,INOPERABLE VEHICLE,MOTOR VEHICLE,612 CHAMBERS ST
CE1508-1110,MINIMUM BUILDING STA,AESTHETIC FEATURES,612 CHAMBERS ST
CE1508-1111,OUTSIDE STORAGE,RESIDENTIAL,1305 AMHERST DR
CE1508-1112,GRASSWEEDS,RESIDENTIAL,1315 AMHERST DR
CE1508-1113,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1504 E MCKINNEY ST 200
CE1508-1114,TRASHDEBRIS,RESIDENTIAL,414 RUTH ST
CE1508-1115,TRASHDEBRIS,RESIDENTIAL,2009 PARKSIDE DR
CE1508-1116,TRASHDEBRIS,RESIDENTIAL,1501 BROADWAY ST
CE1508-1117,OUTSIDE STORAGE,RESIDENTIAL,2021 PARKSIDE DR
CE1508-1118,TRASHRECYCLE BINS,CURB WRONG TIME,2021 PARKSIDE DR
CE1508-1119,TRASHRECYCLE BINS,CURB WRONG TIME,2205 NORTH LAKE TRAIL
CE1508-1120,TRASHDEBRIS,RESIDENTIAL,1212 CRESCENT ST
CE1508-1121,GRASSWEEDS,RESIDENTIAL,1212 CRESCENT ST
CE1508-1122,OUTSIDE STORAGE,RESIDENTIAL,903 ECTOR ST
CE1508-1123,GRASSWEEDS,RESIDENTIAL,1116 CRESCENT ST
CE1508-1124,GRASSWEEDS,RESIDENTIAL,620 COIT ST
CE1508-1125,TRASHDEBRIS,RESIDENTIAL,1228 ECTOR ST
CE1508-1126,TRASHDEBRIS,RESIDENTIAL,1130 MORSE ST
CE1508-1127,TRASHDEBRIS,RESIDENTIAL,1400 FOX HOLLOW
CE1508-1128,TRASHDEBRIS,RESIDENTIAL,1225 AMHERST DR
CE1508-1129,OUTSIDE STORAGE,RESIDENTIAL,1217 AMHERST DR
CE1508-1130,TRASHDEBRIS,RESIDENTIAL,1426 BOLIVAR ST
CE1508-1131,ZONING,SIGNAGE,1504 E MCKINNEY ST 200
CE1508-1132,GRASSWEEDS,RESIDENTIAL,1425 BROADWAY ST
CE1508-1133,GRASSWEEDS,VACANT LOT,2286 W OAK ST
CE1508-1134,TRASHDEBRIS,VACANT LOT,2286 W OAK ST
CE1508-1135,PARKING,SINGLE FAMILY,2017 LAMPREY CIR
CE1508-1136,STAGNANT WATER,LOW AREAS,DARIEN PL
CE1508-1137,TRASHDEBRIS,RESIDENTIAL,DARIEN PL
CE1508-1138,GRASSWEEDS,VACANT LOT,DARIEN PL
CE1508-1139,INOPERABLE VEHICLE,MOTOR VEHICLE,6613 WELLSTON LN
CE1508-1140,IRRIGATION,RESIDENTIAL,2100 LAMPREY CIR
CE1508-1141,TRASHDEBRIS,COMMERCIAL,905 CLEVELAND ST
CE1508-1142,GRAFFITI,COMMERCIAL,JIM CHRISTAL
CE1508-1143,VIEW OBSTRUCTION,,US 380
CE1508-1144,OUTSIDE STORAGE,RESIDENTIAL,3200 HERRING CT
CE1508-1145,TRASHDEBRIS,COMMERCIAL,1105 AVE B
CE1508-1146,FENCES,RESIDENTIAL,1102 PEAK ST
CE1508-1147,IRRIGATION,RESIDENTIAL,2516 BRIAR FOREST DR
CE1508-1148,OUTSIDE STORAGE,RESIDENTIAL,1010 BERNARD ST
CE1508-1149,FENCES,RESIDENTIAL,2600 BISSONET DR
CE1508-1150,IRRIGATION,RESIDENTIAL,3900 KIRBY DR
